trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
11624,2022,IN,IN,SANDC,TRAN1,0.02,75173.773,2.0,1.0,75173.773,75173.773,75173.773,3758688.65
5051,2022,IN,IN,FORES,MEAT1,0.37,74921.177,1.0,1.0,74921.177,74921.177,74921.177,202489.667568
1272,2022,IN,IN,BITUM,URANI,0.1,74500.143,1.0,1.0,74500.143,74500.143,74500.143,745001.43
11857,2022,IN,IN,STONE,BEVER,0.18,74188.923,1.0,1.0,74188.923,74188.923,74188.923,412160.683333
8812,2022,IN,IN,PADDY,WHOLE,0.36,73957.587,1.0,1.0,73957.587,73957.587,73957.587,205437.741667
5104,2022,IN,IN,FORES,WHEAT,0.35,72515.227,1.0,1.0,72515.227,72515.227,72515.227,207186.362857
11891,2022,IN,IN,STONE,GLASS,0.17,72009.077,1.0,1.0,72009.077,72009.077,72009.077,423582.805882
8775,2022,IN,IN,PADDY,MACHI,0.34,69240.062,1.0,1.0,69240.062,69240.062,69240.062,203647.241176
11558,2022,IN,IN,SANDC,COKEO,0.02,69091.997,2.0,1.0,69091.997,69091.997,69091.997,3454599.85
9599,2022,IN,IN,POULT,RUBBE,0.1,68750.761,2.0,1.0,68750.761,68750.761,68750.761,687507.61
11590,2022,IN,IN,SANDC,MEATP,0.02,68083.147,2.0,1.0,68083.147,68083.147,68083.147,3404157.35
11887,2022,IN,IN,STONE,FOOD5,0.16,67740.214,1.0,1.0,67740.214,67740.214,67740.214,423376.3375
5003,2022,IN,IN,FORES,AUXIL,0.33,67710.918,1.0,1.0,67710.918,67710.918,67710.918,205184.6
6136,2022,IN,IN,IRONO,ELECT,0.29,66512.101,1.0,1.0,66512.101,66512.101,66512.101,229352.072414
12113,2022,IN,IN,SUGAR,REALE,0.15,64599.472,1.0,1.0,64599.472,64599.472,64599.472,430663.146667
9569,2022,IN,IN,POULT,CHARC,0.09,64407.007,2.0,1.0,64407.007,64407.007,64407.007,715633.411111
1583,2022,IN,IN,CATTL,PADDY,0.33,64218.291,1.0,1.0,64218.291,64218.291,64218.291,194600.881818
11577,2022,IN,IN,SANDC,GASDI,0.02,63674.715,2.0,1.0,63674.715,63674.715,63674.715,3183735.75
12072,2022,IN,IN,SUGAR,GLASS,0.15,62175.675,1.0,1.0,62175.675,62175.675,62175.675,414504.5
1569,2022,IN,IN,CATTL,MEAT1,0.32,61680.924,1.0,1.0,61680.924,61680.924,61680.924,192752.8875
5054,2022,IN,IN,FORES,MEATC,0.3,61661.285,1.0,1.0,61661.285,61661.285,61661.285,205537.616667
