trade_id,year,region1,region2,industry1,industry2,amount
2368,2022,IN,IN,COMPU,COMPU,2133.00
5144,2022,IN,IN,FOUND,ELECT,2097.31
13276,2022,IN,IN,WHOLE,PAPER,2075.53
12439,2022,IN,IN,TOBAC,TOBAC,2050.42
1456,2022,IN,IN,BUSIN,LANDT,2030.33
4335,2022,IN,IN,ELECT,ELECT,2029.90
9826,2022,IN,IN,PRINT,PAPER,2001.15
6452,2022,IN,IN,LANDT,PRINT,1971.73
8180,2022,IN,IN,NFERT,CONST,1959.18
6467,2022,IN,IN,LANDT,RUBBE,1952.77
9128,2022,IN,IN,PFERT,WHEAT,1944.49
9090,2022,IN,IN,PFERT,NFERT,1937.95
2726,2022,IN,IN,CROPS,ANIMA,1926.65
11300,2022,IN,IN,RUBBE,BEVER,1921.28
11489,2022,IN,IN,SALEM,MOTO1,1901.67
10461,2022,IN,IN,RAILW,BASIC,1897.29
13288,2022,IN,IN,WHOLE,PROCE,1896.89
4627,2022,IN,IN,FINAN,LANDT,1888.33
4575,2022,IN,IN,FINAN,BITUM,1881.03
2565,2022,IN,IN,CONST,POSTT,1859.98
1969,2022,IN,IN,CHEM1,FURNI,1857.09
5145,2022,IN,IN,FOUND,FABRI,1847.62
11344,2022,IN,IN,RUBBE,FURNI,1846.61
11120,2022,IN,IN,RETA1,PFERT,1831.08
13275,2022,IN,IN,WHOLE,PADDY,1817.26
1,2022,IN,IN,93197,93197,1816.33
4697,2022,IN,IN,FINAN,WEARI,1812.95
12067,2022,IN,IN,SUGAR,FOOD5,1810.91
6486,2022,IN,IN,LANDT,WHOLE,1810.58
13242,2022,IN,IN,WHOLE,HOTEL,1804.79
2434,2022,IN,IN,COMPU,POSTT,1803.38
9305,2022,IN,IN,PLANT,RUBBE,1786.39
9471,2022,IN,IN,POSTT,FINAN,1773.05
12183,2022,IN,IN,SUPPO,FOOD5,1761.11
13299,2022,IN,IN,WHOLE,RETA1,1754.68
13236,2022,IN,IN,WHOLE,FURNI,1753.92
12316,2022,IN,IN,TEXTI,FURNI,1750.57
12254,2022,IN,IN,SUPPO,SEACO,1738.58
11129,2022,IN,IN,RETA1,PROCE,1720.75
5461,2022,IN,IN,GASDI,RAILW,1682.90
5772,2022,IN,IN,HOTEL,BUSIN,1674.77
13311,2022,IN,IN,WHOLE,TOBAC,1673.40
4579,2022,IN,IN,FINAN,BUSIN,1668.94
2834,2022,IN,IN,CRUDE,BASIC,1665.51
13411,2022,IN,IN,WOODW,RADIO,1660.39
13313,2022,IN,IN,WHOLE,TRANS,1651.55
2820,2022,IN,IN,CROPS,TOBAC,1647.65
13248,2022,IN,IN,WHOLE,LANDT,1645.29
1366,2022,IN,IN,BRICK,CONST,1635.07
8631,2022,IN,IN,OFFIC,OFFIC,1623.20
1712,2022,IN,IN,CERAM,CERAM,1609.97
6408,2022,IN,IN,LANDT,HOTEL,1601.26
4820,2022,IN,IN,FISHF,FISHF,1600.32
2021,2022,IN,IN,CHEM1,PUBLI,1592.32
6368,2022,IN,IN,LANDT,CEMEN,1592.26
13211,2022,IN,IN,WHOLE,COMPU,1585.39
13285,2022,IN,IN,WHOLE,PREC1,1579.76
2729,2022,IN,IN,CROPS,BEVER,1575.52
6439,2022,IN,IN,LANDT,OFFIC,1571.78
6442,2022,IN,IN,LANDT,PAPER,1570.04
6698,2022,IN,IN,LEATH,TEXTI,1553.71
7807,2022,IN,IN,MOTOR,MOTOR,1548.44
2014,2022,IN,IN,CHEM1,PLAST,1547.86
6665,2022,IN,IN,LEATH,MOTO1,1543.89
