trade_id,year,region1,region2,industry1,industry2,amount
10354,2022,CN,CN,POSTT,CONST,26927.72
4870,2022,CN,CN,FINAN,RETA1,26805.96
797,2022,CN,CN,BASIC,TRANS,26780.71
5573,2022,CN,CN,FURNI,HEALT,26662.31
1538,2022,CN,CN,BUSIN,RETA1,26274.55
8340,2022,CN,CN,MOTO1,SALEM,25685.23
4852,2022,CN,CN,FINAN,PLAST,25684.48
4753,2022,CN,CN,FINAN,ALUM1,25653.35
11860,2022,CN,CN,RESEA,MOTO1,25530.63
11351,2022,CN,CN,RAWMI,DAIRY,25530.15
5540,2022,CN,CN,FURNI,CONST,25466.72
7194,2022,CN,CN,LEAD1,CONST,25293.81
11478,2022,CN,CN,REALE,HOTEL,25289.84
7730,2022,CN,CN,MEAT1,HOTEL,25167.76
11938,2022,CN,CN,RETA1,CHEM1,25048.39
5040,2022,CN,CN,FISHF,FISHF,24781.36
4810,2022,CN,CN,FINAN,HEALT,24681.15
11314,2022,CN,CN,RAILW,RAILW,23858.79
8281,2022,CN,CN,MOTO1,LANDT,23661.34
7794,2022,CN,CN,MEAT4,MEAT4,23599.93
1414,2022,CN,CN,BUSIN,BASIC,23372.84
5718,2022,CN,CN,GASDI,LANDT,23185.94
8392,2022,CN,CN,MOTOR,CONST,22902.31
13991,2022,CN,CN,WEARI,HEALT,22786.86
5593,2022,CN,CN,FURNI,MOTO1,22776.91
11442,2022,CN,CN,REALE,COMPU,22608.13
13527,2022,CN,CN,TRAN2,CERAM,22408.70
14283,2022,CN,CN,WHOLE,PFERT,22345.89
9701,2022,CN,CN,PAPER,FOOD5,22165.43
9111,2022,CN,CN,NONME,NONME,22095.77
10437,2022,CN,CN,POSTT,PUBLI,22019.71
4776,2022,CN,CN,FINAN,COMPU,21837.69
7128,2022,CN,CN,LANDT,MOTO1,21774.89
1462,2022,CN,CN,BUSIN,FOOD5,21762.24
11416,2022,CN,CN,REALE,93197,21516.60
