trade_id,year,region1,region2,industry1,industry2,amount
15414,2022,DE,DE,REALE,MOTO1,2382.01
7089,2022,DE,DE,FOOD5,HOTEL,2351.05
3705,2022,DE,DE,CRUDE,GASDI,2305.44
6117,2022,DE,DE,FINAN,INSUR,2302.21
6206,2022,DE,DE,FINAN,WHOLE,2278.99
13868,2022,DE,DE,PLAST,LEATH,2257.73
16200,2022,DE,DE,RETA1,TOBAC,2256.66
16141,2022,DE,DE,RETA1,MACHI,2244.32
14013,2022,DE,DE,POSTT,HOTEL,2228.17
2054,2022,DE,DE,CEMEN,CEMEN,2218.88
15771,2022,DE,DE,RENTI,AIRTR,2208.46
15857,2022,DE,DE,RENTI,MOTO1,2201.22
16175,2022,DE,DE,RETA1,PUBLI,2184.41
9448,2022,DE,DE,LANDT,MOTOR,2179.81
19641,2022,DE,DE,WHOLE,TRANS,2176.55
1953,2022,DE,DE,BUSIN,RECRE,2175.05
16038,2022,DE,DE,RESEA,RESEA,2157.72
8992,2022,DE,DE,INSUR,PUBLI,2128.06
15388,2022,DE,DE,REALE,HEALT,2108.87
3272,2022,DE,DE,CONST,DISTR,2108.41
3327,2022,DE,DE,CONST,MOTO1,2106.51
7776,2022,DE,DE,GASDI,CONST,2079.45
3139,2022,DE,DE,COMPU,HEALT,2014.18
14021,2022,DE,DE,POSTT,LANDT,2005.91
16136,2022,DE,DE,RETA1,LEATH,2003.53
19615,2022,DE,DE,WHOLE,RAWMI,1972.58
14472,2022,DE,DE,PRINT,RETA1,1970.56
9310,2022,DE,DE,KEROS,AIRTR,1960.88
1828,2022,DE,DE,BUSIN,93197,1955.99
16184,2022,DE,DE,RETA1,RESEA,1930.85
14597,2022,DE,DE,PRIVA,PRIVA,1919.84
9440,2022,DE,DE,LANDT,MACHI,1917.37
13976,2022,DE,DE,POSTT,COMPU,1917.11
3303,2022,DE,DE,CONST,HOTEL,1902.25
19551,2022,DE,DE,WHOLE,GASDI,1898.09
1887,2022,DE,DE,BUSIN,FURNI,1877.89
3149,2022,DE,DE,COMPU,LANDT,1875.80
1950,2022,DE,DE,BUSIN,RAILW,1874.79
19564,2022,DE,DE,WHOLE,LANDT,1872.01
3717,2022,DE,DE,CRUDE,MOTOR,1870.10
19507,2022,DE,DE,WHOLE,BUSIN,1847.21
6019,2022,DE,DE,FABRI,RUBBE,1843.78
1942,2022,DE,DE,BUSIN,POSTT,1837.13
9472,2022,DE,DE,LANDT,PLAST,1836.41
16430,2022,DE,DE,RUBBE,FURNI,1836.23
16024,2022,DE,DE,RESEA,PLAST,1834.68
19637,2022,DE,DE,WHOLE,TEXTI,1831.23
2015,2022,DE,DE,CATTL,MEATC,1828.54
10367,2022,DE,DE,MACHI,FABRI,1828.37
7486,2022,DE,DE,FOUND,FABRI,1823.56
3369,2022,DE,DE,CONST,RETA1,1817.69
16029,2022,DE,DE,RESEA,PUBLI,1797.83
16108,2022,DE,DE,RETA1,FABRI,1792.53
16662,2022,DE,DE,SALEM,RETA1,1783.30
13997,2022,DE,DE,POSTT,FINAN,1774.29
1549,2022,DE,DE,BKBPE,CEMEN,1762.62
16604,2022,DE,DE,SALEM,LANDT,1760.61
13445,2022,DE,DE,PIGS9,FISH5,1754.79
1847,2022,DE,DE,BUSIN,CEMEN,1753.82
15849,2022,DE,DE,RENTI,MACHI,1737.88
8878,2022,DE,DE,INSUR,AUXIL,1734.79
8319,2022,DE,DE,HEAVY,GASDI,1733.39
7885,2022,DE,DE,GASDI,SUPPO,1728.59
3353,2022,DE,DE,CONST,POSTT,1728.40
7680,2022,DE,DE,FURNI,MOTO1,1725.86
4163,2022,DE,DE,DISTR,TRAN1,1716.91
15406,2022,DE,DE,REALE,MACHI,1709.36
15503,2022,DE,DE,RECRE,BUSIN,1690.73
6162,2022,DE,DE,FINAN,PLAST,1690.13
17874,2022,DE,DE,SUPPO,OFFIC,1661.38
6171,2022,DE,DE,FINAN,RAILW,1645.22
3124,2022,DE,DE,COMPU,FABRI,1630.08
3319,2022,DE,DE,CONST,MACHI,1625.92
6096,2022,DE,DE,FINAN,FABRI,1625.58
3368,2022,DE,DE,CONST,RESEA,1622.86
3144,2022,DE,DE,COMPU,INSUR,1622.68
1945,2022,DE,DE,BUSIN,PRINT,1609.70
11279,2022,DE,DE,MOTO1,RESEA,1599.33
19634,2022,DE,DE,WHOLE,SUPPO,1596.62
4266,2022,DE,DE,EDUCA,MOTO1,1594.19
9478,2022,DE,DE,LANDT,PUBLI,1589.26
14357,2022,DE,DE,PRINT,BUSIN,1581.66
8012,2022,DE,DE,GLASS,GLASS,1581.31
11921,2022,DE,DE,NONME,CONST,1579.88
15440,2022,DE,DE,REALE,POSTT,1568.67
14459,2022,DE,DE,PRINT,PRINT,1558.25
16080,2022,DE,DE,RETA1,BUSIN,1551.11
18389,2022,DE,DE,TEXTI,WEARI,1544.79
19581,2022,DE,DE,WHOLE,MOTOR,1542.78
9015,2022,DE,DE,INSUR,SUPPO,1532.19
13246,2022,DE,DE,PAPER,PAPER,1525.31
14767,2022,DE,DE,PUBLI,MOTO1,1518.43
14062,2022,DE,DE,POSTT,PLAST,1517.69
9001,2022,DE,DE,INSUR,RENTI,1513.50
6114,2022,DE,DE,FINAN,HOTEL,1505.12
18705,2022,DE,DE,TRANS,AIRTR,1501.07
3787,2022,DE,DE,DAIRY,HOTEL,1494.21
1708,2022,DE,DE,BRICK,CONST,1478.37
1959,2022,DE,DE,BUSIN,RETAI,1469.85
15457,2022,DE,DE,REALE,RETAI,1465.99
15352,2022,DE,DE,REALE,COMPU,1461.98
1862,2022,DE,DE,BUSIN,DISTR,1457.06
10379,2022,DE,DE,MACHI,FURNI,1454.63
2005,2022,DE,DE,CATTL,FOOD5,1454.37
2381,2022,DE,DE,CEREA,FOOD5,1444.65
19625,2022,DE,DE,WHOLE,SALEM,1442.24
6076,2022,DE,DE,FINAN,COMPU,1440.56
14376,2022,DE,DE,PRINT,EDUCA,1430.34
17807,2022,DE,DE,SUPPO,DAIRY,1426.80
4205,2022,DE,DE,EDUCA,COMPU,1422.09
15189,2022,DE,DE,RAILW,MOTO1,1421.34
7980,2022,DE,DE,GLASS,CONST,1416.17
13971,2022,DE,DE,POSTT,CHEM1,1409.94
530,2022,DE,DE,ALUM1,MACHI,1409.38
8348,2022,DE,DE,HEAVY,MOTOR,1406.34
16187,2022,DE,DE,RETA1,RUBBE,1401.99
6147,2022,DE,DE,FINAN,OFFIC,1401.64
884,2022,DE,DE,BASIC,FOUND,1396.33
19549,2022,DE,DE,WHOLE,FOUND,1392.60
3396,2022,DE,DE,CONST,WHOLE,1383.94
4147,2022,DE,DE,DISTR,RETA1,1379.85
15140,2022,DE,DE,RAILW,EDUCA,1375.13
13195,2022,DE,DE,PAPER,FOOD5,1371.40
15393,2022,DE,DE,REALE,INSUR,1364.82
8908,2022,DE,DE,INSUR,EDUCA,1358.59
14471,2022,DE,DE,PRINT,RESEA,1353.92
3105,2022,DE,DE,COMPU,CONST,1351.04
6054,2022,DE,DE,FINAN,AUXIL,1345.39
8901,2022,DE,DE,INSUR,CONST,1341.83
19499,2022,DE,DE,WHOLE,BEVER,1338.37
9393,2022,DE,DE,LANDT,DIST1,1330.88
4091,2022,DE,DE,DISTR,LANDT,1328.66
3286,2022,DE,DE,CONST,FINAN,1328.06
9378,2022,DE,DE,LANDT,CEMEN,1323.60
19509,2022,DE,DE,WHOLE,CEMEN,1322.80
6182,2022,DE,DE,FINAN,SALEM,1319.35
6191,2022,DE,DE,FINAN,SUPPO,1317.19
14047,2022,DE,DE,POSTT,OFFIC,1313.44
15330,2022,DE,DE,REALE,AUXIL,1310.74
8418,2022,DE,DE,HOTEL,AIRTR,1305.91
1830,2022,DE,DE,BUSIN,AIRTR,1294.41
14016,2022,DE,DE,POSTT,INSUR,1292.63
18938,2022,DE,DE,VEGET,BEVER,1286.03
1890,2022,DE,DE,BUSIN,GLASS,1273.54
3079,2022,DE,DE,COMPU,AIRTR,1272.22
3099,2022,DE,DE,COMPU,CHEM1,1263.97
3311,2022,DE,DE,CONST,LANDT,1263.73
4008,2022,DE,DE,DIST1,TRAN1,1261.11
15796,2022,DE,DE,RENTI,COMPU,1260.31
4226,2022,DE,DE,EDUCA,FINAN,1259.21
17908,2022,DE,DE,SUPPO,RUBBE,1249.81
13996,2022,DE,DE,POSTT,FABRI,1248.86
17783,2022,DE,DE,SUPPO,BEVER,1247.67
14461,2022,DE,DE,PRINT,PUBLI,1243.48
8109,2022,DE,DE,GLASS,WOODW,1236.55
16827,2022,DE,DE,SANDC,STONE,1231.85
9491,2022,DE,DE,LANDT,RUBBE,1231.21
3190,2022,DE,DE,COMPU,PLAST,1217.28
15791,2022,DE,DE,RENTI,CHEM1,1209.23
16068,2022,DE,DE,RETA1,AIRTR,1206.36
9003,2022,DE,DE,INSUR,RETA1,1199.83
15459,2022,DE,DE,REALE,SALEM,1198.31
7044,2022,DE,DE,FOOD5,BEVER,1194.56
15882,2022,DE,DE,RENTI,PLAST,1192.53
16196,2022,DE,DE,RETA1,SUPPO,1191.15
16123,2022,DE,DE,RETA1,GLASS,1189.01
14368,2022,DE,DE,PRINT,COMPU,1187.18
19567,2022,DE,DE,WHOLE,LEATH,1186.18
15256,2022,DE,DE,RAILW,WHOLE,1179.67
6020,2022,DE,DE,FABRI,SALEM,1179.09
15904,2022,DE,DE,RENTI,SEACO,1178.44
3902,2022,DE,DE,DIST1,ELEC2,1174.79
8921,2022,DE,DE,INSUR,FINAN,1173.33
13881,2022,DE,DE,PLAST,MOTO1,1169.97
3352,2022,DE,DE,CONST,PLAST,1168.51
18448,2022,DE,DE,TRAN1,DISTR,1165.28
14078,2022,DE,DE,POSTT,RESEA,1158.00
3175,2022,DE,DE,COMPU,OFFIC,1150.89
16084,2022,DE,DE,RETA1,CHEM1,1150.83
6177,2022,DE,DE,FINAN,RENTI,1146.37
14404,2022,DE,DE,PRINT,HEALT,1139.89
16097,2022,DE,DE,RETA1,EDUCA,1128.44
17822,2022,DE,DE,SUPPO,FABRI,1125.65
18688,2022,DE,DE,TRAN2,SUPPO,1118.49
16293,2022,DE,DE,RETAI,MACHI,1117.21
15898,2022,DE,DE,RENTI,RESEA,1116.11
19526,2022,DE,DE,WHOLE,EDUCA,1107.35
19644,2022,DE,DE,WHOLE,VEGET,1103.03
9488,2022,DE,DE,LANDT,RESEA,1102.65
11535,2022,DE,DE,NAPHT,PLAST,1100.10
15833,2022,DE,DE,RENTI,HOTEL,1091.83
15358,2022,DE,DE,REALE,DIST1,1090.51
7087,2022,DE,DE,FOOD5,HEALT,1088.78
15816,2022,DE,DE,RENTI,FABRI,1087.76
1915,2022,DE,DE,BUSIN,MEMBE,1087.15
3397,2022,DE,DE,CONST,WOOD1,1082.50
19553,2022,DE,DE,WHOLE,GLASS,1081.48
13977,2022,DE,DE,POSTT,CONST,1078.70
8037,2022,DE,DE,GLASS,MOTO1,1074.27
14074,2022,DE,DE,POSTT,RECRE,1070.41
10470,2022,DE,DE,MACHI,TRANS,1070.19
6181,2022,DE,DE,FINAN,RUBBE,1067.35
3285,2022,DE,DE,CONST,FABRI,1062.89
375,2022,DE,DE,AIRTR,MACHI,1061.30
15831,2022,DE,DE,RENTI,HEALT,1060.69
11292,2022,DE,DE,MOTO1,SUPPO,1044.26
7817,2022,DE,DE,GASDI,LANDT,1035.32
3991,2022,DE,DE,DIST1,RETA1,1028.05
459,2022,DE,DE,ALUM1,ALUM1,1027.84
11224,2022,DE,DE,MOTO1,LANDT,1027.70
6163,2022,DE,DE,FINAN,POSTT,1025.81
15901,2022,DE,DE,RENTI,RUBBE,1021.12
9457,2022,DE,DE,LANDT,OFFIC,1020.91
3293,2022,DE,DE,CONST,FOOD5,1020.14
15888,2022,DE,DE,RENTI,PUBLI,1012.91
14011,2022,DE,DE,POSTT,HEALT,1002.30
15372,2022,DE,DE,REALE,FABRI,996.77
11424,2022,DE,DE,MOTOR,PLAST,995.91
16660,2022,DE,DE,SALEM,RENTI,994.75
19518,2022,DE,DE,WHOLE,COMPU,992.31
6136,2022,DE,DE,FINAN,MEMBE,989.51
7135,2022,DE,DE,FOOD5,RAWMI,988.50
7495,2022,DE,DE,FOUND,FOUND,981.60
3935,2022,DE,DE,DIST1,LANDT,978.16
15380,2022,DE,DE,REALE,FOOD5,976.33
2606,2022,DE,DE,CHEM1,WOODW,973.20
16651,2022,DE,DE,SALEM,PUBLI,971.89
1980,2022,DE,DE,BUSIN,VEGET,970.63
3205,2022,DE,DE,COMPU,RENTI,967.45
3245,2022,DE,DE,CONST,BASIC,967.19
1982,2022,DE,DE,BUSIN,WEARI,966.64
1897,2022,DE,DE,BUSIN,INTER,964.47
15468,2022,DE,DE,REALE,SUPPO,962.04
15867,2022,DE,DE,RENTI,OFFIC,956.68
16973,2022,DE,DE,SEACO,SUPPO,954.27
19498,2022,DE,DE,WHOLE,BASIC,953.30
6049,2022,DE,DE,FINAN,93197,951.83
4081,2022,DE,DE,DISTR,HEALT,946.61
16210,2022,DE,DE,RETA1,WHOLE,941.74
5893,2022,DE,DE,FABRI,BASIC,941.51
14430,2022,DE,DE,PRINT,MOTO1,941.03
1042,2022,DE,DE,BEVER,HEALT,940.75
18741,2022,DE,DE,TRANS,FURNI,935.41
7411,2022,DE,DE,FORES,PULP5,930.68
